"MemberId","Bucket","PrevEP","Achieved","RankId","RankName","PrevRankId","Error"
"AMB-994179","Fill","6","False",,,,
"AMB-993195","Fill","6","False",,,,
"AMB-992580","Fill","48","False",,,,
"AMB-992262","Fill","42","False",,,,
"AMB-992131","Fill","6","False",,,,
"AMB-991594","Fill","12","False",,,,
"AMB-989419","Fill","6","False",,,,
"AMB-987984","Fill","12","False",,,,
"AMB-987906","Fill","6","False",,,,
"AMB-983234","Fill","12","False",,,,
"AMB-982935","Fill","6","False",,,,
"AMB-978777","Fill","6","False",,,,
"AMB-978058","Fill","6","True","1","Silver",,
"AMB-975932","Fill","6","False",,,,
"AMB-971578","Fill","6","False",,,,
"AMB-970121","Fill","1008","False",,,,
"AMB-969856","Fill","6","False",,,,
"AMB-969850","Fill","6","False",,,,
"AMB-969357","Fill","6","False",,,,
"AMB-969199","Fill","6","False",,,,
"AMB-968775","Fill","6","False",,,,
"AMB-968569","Fill","6","False",,,,
"AMB-966988","Fill","6","False",,,,
"AMB-966298","Fill","6","False",,,,
"AMB-965523","Fill","6","False",,,,
"AMB-964026","Fill","6","False",,,,
"AMB-959830","Fill","12","False",,,,
"AMB-959630","Fill","6","False",,,,
"AMB-958909","Fill","6","False",,,,
"AMB-955001","Fill","6","False",,,,
"AMB-945651","Fill","6","False",,,,
"AMB-943369","Fill","6","False",,,,
"AMB-941361","Fill","216","False",,,,
"AMB-941106","Fill","42","False",,,,
"AMB-940103","Fill","6","False",,,,
"AMB-937106","Fill","6","False",,,,
"AMB-932756","Fill","318","False",,,,
"AMB-932718","Fill","6","False",,,,
"AMB-929617","Fill","6","False",,,,
"AMB-923404","Fill","6","False",,,,
"AMB-920515","Fill","12","False",,,,
"AMB-920366","Fill","6","False",,,,
"AMB-919104","Fill","6","False",,,,
"AMB-910310","Fill","6","False",,,,
"AMB-903697","Fill","6","False",,,,
"AMB-901889","Fill","6","False",,,,
"AMB-901003","Fill","6","False",,,,
"AMB-894184","Fill","6","False",,,,
"AMB-891040","Fill","6","False",,,,
"AMB-890445","Fill","12","False",,,,
"AMB-889706","Fill","6","False",,,,
"AMB-889260","Fill","6","False",,,,
"AMB-884923","Fill","6","False",,,,
"AMB-882579","Fill","6","False",,,,
"AMB-882089","Fill","6","False",,,,
"AMB-878612","Fill","12","False",,,,
"AMB-877167","Fill","6","False",,,,
"AMB-875554","Fill","6","False",,,,
"AMB-874776","Fill","6","False",,,,
"AMB-874518","Fill","6","False",,,,
"AMB-868835","Fill","12","False",,,,
"AMB-865751","Fill","6","False",,,,
"AMB-864084","Fill","6","False",,,,
"AMB-862777","Fill","6","False",,,,
"AMB-861774","Fill","42","False",,,,
"AMB-860419","Fill","6","False",,,,
"AMB-860225","Fill","6","False",,,,
"AMB-857647","Fill","120","False",,,,
"AMB-857218","Fill","6","False",,,,
"AMB-855611","Fill","6","False",,,,
"AMB-851934","Fill","126","False",,,,
"AMB-848895","Fill","6","False",,,,
"AMB-847340","Fill","6","False",,,,
"AMB-847332","Fill","6","False",,,,
"AMB-843048","Fill","6","False",,,,
"AMB-842929","Fill","6","False",,,,
"AMB-842226","Fill","6","False",,,,
"AMB-840764","Fill","6","False",,,,
"AMB-840359","Fill","6","False",,,,
"AMB-839642","Fill","6","False",,,,
"AMB-839290","Fill","6","False",,,,
"AMB-829140","Fill","6","False",,,,
"AMB-828862","Fill","6","False",,,,
"AMB-826817","Fill","6","False",,,,
"AMB-826800","Fill","6","False",,,,
"AMB-823165","Fill","18","False",,,,
"AMB-817747","Fill","6","False",,,,
"AMB-815644","Fill","6","False",,,,
"AMB-812027","Fill","6","False",,,,
"AMB-810134","Fill","42","False",,,,
"AMB-808952","Fill","6","False",,,,
"AMB-807101","Fill","6","False",,,,
"AMB-805815","Fill","6","False",,,,
"AMB-804828","Fill","6","False",,,,
"AMB-802742","Fill","6","False",,,,
"AMB-801211","Fill","6","False",,,,
"AMB-801163","Fill","6","False",,,,
"AMB-799906","Fill","6","False",,,,
"AMB-797897","Fill","6","False",,,,
"AMB-793769","Fill","12","False",,,,
