# Generated 20260524-114134 — 350 distinct sponsors, cascade-aware buckets for AMB-700829 wave
# bucket|slug|EP|ETSize|DTL|DTR|DirectSponsored|MemberId|currentRank=0(Lifestyle)
D_TitaniumCand|g-7717c939-up1|906|150|3282.0000|3156.0000|51|AMB-550531|Lifestyle
D_TitaniumCand|g-7717c939-up4|360|59|528.0000|4866.0000|27|AMB-175623|Lifestyle
D_TitaniumCand|g-7717c939-up6|348|57|516.0000|4344.0000|23|AMB-637178|Lifestyle
D_TitaniumCand|g-7717c939-up8|612|101|456.0000|3882.0000|23|AMB-565792|Lifestyle
D_TitaniumCand|g-7717c939-up10|570|94|396.0000|3480.0000|23|AMB-199916|Lifestyle
D_TitaniumCand|p-33f6d261-up2|402|66|414.0000|3060.0000|17|AMB-151521|Lifestyle
D_TitaniumCand|g-7717c939-up3|438|72|1710.0000|1566.0000|20|AMB-679522|Lifestyle
D_TitaniumCand|p-33f6d261-up4|582|96|366.0000|2676.0000|25|AMB-107495|Lifestyle
D_TitaniumCand|p-33f6d261-up10|576|95|240.0000|2172.0000|15|AMB-018872|Lifestyle
D_TitaniumCand|p-33f6d261-up14|270|44|216.0000|1950.0000|20|AMB-301034|Lifestyle
D_TitaniumCand|p-33f6d261-up16|228|37|198.0000|1746.0000|17|AMB-873986|Lifestyle
D_TitaniumCand|g-7717c939-up5|438|72|954.0000|750.0000|18|AMB-052251|Lifestyle
D_TitaniumCand|lt-c727361f-l50-23-28c12f|282|46|810.0000|804.0000|27|AMB-140171|Lifestyle
D_TitaniumCand|lt-c727361f-l2-1-8bee5a|312|51|42.0000|990.0000|22|AMB-577886|Lifestyle
D_TitaniumCand|lt-c727361f-l2-0-8a3bcc|192|31|42.0000|942.0000|26|AMB-580115|Lifestyle
D_TitaniumCand|g-7717c939-up7|804|133|534.0000|414.0000|25|AMB-452026|Lifestyle
D_TitaniumCand|lt-c727361f-l5-0-baf295|180|29|6.0000|930.0000|10|AMB-171970|Lifestyle
D_TitaniumCand|lt-c727361f-l20-16-e78ceb|228|37|18.0000|606.0000|27|AMB-710416|Lifestyle
D_TitaniumCand|lt-c727361f-l20-3-b56cd8|234|38|18.0000|534.0000|27|AMB-697885|Lifestyle
D_TitaniumCand|g-7717c939-up9|414|68|318.0000|210.0000|22|AMB-369634|Lifestyle
D_TitaniumCand|lt-c727361f-l20-7-5f6c6c|204|33|6.0000|474.0000|28|AMB-933181|Lifestyle
D_TitaniumCand|lt-c727361f-l20-19-9e0d55|180|29|18.0000|414.0000|20|AMB-946234|Lifestyle
D_TitaniumCand|lt-c727361f-l20-0-450e9c|738|122|6.0000|402.0000|39|AMB-211134|Lifestyle
