# sponsors-400 — 80 distinct sponsors across A's subtree
# Format: MemberId|Slug|Depth|Leg
AMB-550531|g-7717c939-up1|0|L
AMB-861774|lt-c727361f-l50-5-7139b5|4|L
AMB-744767|lt-c727361f-l50-40-d7b009|4|L
AMB-035954|lt-c727361f-l50-33-81ba86|4|L
AMB-025292|lt-c727361f-l50-8-480021|4|L
AMB-941106|lt-c727361f-l50-17-bbd622|4|L
AMB-679522|g-7717c939-up3|1|L
AMB-080633|lt-c727361f-l50-19-c987e8|3|L
AMB-232054|lt-c727361f-l50-32-9fea75|4|L
AMB-325585|lt-c727361f-l50-2-c2edb5|3|L
AMB-652024|lt-a222f227-w4-i82-2a6572|8|L
AMB-183146|lt-a222f227-w5-i5-9b57b7|8|L
AMB-025286|lt-a222f227-w4-i6-e0f5f7|8|L
AMB-173497|lt-a222f227-w3-i25-e8b6df|7|L
AMB-460921|lt-a222f227-w4-i119-b6e922|8|L
AMB-148679|lt-a222f227-w4-i34-c7175c|8|L
AMB-178995|lt-a222f227-w3-i11-a82ac9|7|L
AMB-114227|lt-a222f227-w4-i15-2e9f3e|8|L
AMB-270756|lt-a222f227-w4-i85-c68d50|8|L
AMB-379840|lt-a222f227-w2-i23-d45bd6|6|L
AMB-052176|lt-c4b8202b-w1-i15-a81b03|9|L
AMB-173563|lt-ecd8fb8e-w1-i218-f1a993|10|L
AMB-115382|lt-c4b8202b-w1-i121-416f77|10|L
AMB-992262|lt-ecd8fb8e-w1-i195-4f4f1a|10|L
AMB-155646|lt-a222f227-w5-i92-50e012|9|L
AMB-516762|lt-a222f227-w5-i176-0fe85d|9|L
AMB-531709|lt-ecd8fb8e-w1-i296-164dd7|10|L
AMB-851934|lt-ecd8fb8e-w1-i120-604587|10|L
AMB-632691|lt-c4b8202b-w1-i168-b1194c|9|L
AMB-978445|lt-c4b8202b-w1-i225-8c3113|10|L
AMB-412941|lt-a222f227-w2-i3-4bf447|29|L
AMB-914287|lt-a222f227-w1-i1-6902da|20|L
AMB-346510|lt-a222f227-w2-i7-1dea45|28|L
AMB-159670|lt-a222f227-w1-i3-4f5a37|24|L
AMB-482157|lt-a222f227-w1-i5-dc0016|16|L
AMB-175623|g-7717c939-up4|1|R
AMB-375401|g-7717c939-up2|0|R
AMB-147382|lt-ecd8fb8e-w1-i58-1afdc7|4|R
AMB-610895|lt-ecd8fb8e-w1-i92-d03fab|2|R
AMB-565676|lt-8ff5dfd4-w1-i130-0ccfa9|3|R
AMB-698083|lt-8ff5dfd4-w1-i103-803546|4|R
AMB-637178|g-7717c939-up6|2|R
AMB-001860|lt-8ff5dfd4-w1-i91-1e3fd3|4|R
AMB-946306|lt-ecd8fb8e-w1-i271-38dcba|3|R
AMB-199916|g-7717c939-up10|4|R
AMB-372820|lt-8ff5dfd4-w1-i59-e299bb|10|R
AMB-610638|lt-8ff5dfd4-w1-i138-1c1883|10|R
AMB-466786|lt-8ff5dfd4-w1-i106-023871|7|R
AMB-018872|p-33f6d261-up10|8|R
AMB-389916|lt-8ff5dfd4-w1-i54-69f969|9|R
AMB-301034|p-33f6d261-up14|9|R
AMB-812474|lt-8ff5dfd4-w1-i93-233800|6|R
AMB-851773|lt-8ff5dfd4-w1-i55-2e97cb|9|R
AMB-772645|lt-8ff5dfd4-w1-i92-326278|9|R
AMB-121432|lt-8ff5dfd4-w1-i178-aa6795|6|R
AMB-608942|lt-8ff5dfd4-w1-i44-020097|18|R
AMB-618055|lt-8ff5dfd4-w1-i65-b01181|18|R
AMB-576707|lt-8ff5dfd4-w1-i117-ca66dd|11|R
AMB-945318|lt-8ff5dfd4-w1-i180-88c193|20|R
AMB-899107|lt-8ff5dfd4-w1-i155-3aeb8d|18|R
AMB-408190|lt-8ff5dfd4-w1-i34-3d1df0|21|R
AMB-183044|lt-8ff5dfd4-w1-i18-e8eebe|22|R
AMB-810134|lt-8ff5dfd4-w1-i99-6c05a3|13|R
AMB-411980|lt-8ff5dfd4-w1-i23-12d535|19|R
AMB-519091|lt-8ff5dfd4-w1-i140-604bda|17|R
AMB-655215|lt-8ff5dfd4-w1-i151-1ce670|19|R
AMB-166318|lt-8ff5dfd4-w1-i168-8024a2|18|R
AMB-282646|lt-8ff5dfd4-w1-i198-546112|20|R
AMB-981476|lt-8ff5dfd4-w1-i48-84adef|15|R
AMB-371541|lt-ecd8fb8e-w1-i65-51eee5|13|R
AMB-783772|lt-ecd8fb8e-w1-i28-f54f9e|46|R
AMB-992580|lt-c727361f-l50-29-0f88cb|61|R
AMB-778503|lt-c727361f-l10-6-a9b292|30|R
AMB-766765|lt-c727361f-l50-39-2a9bb9|67|R
AMB-376439|lt-c727361f-l20-15-e73f6c|49|R
AMB-138649|lt-ecd8fb8e-w1-i70-7f2549|38|R
AMB-462068|lt-ecd8fb8e-w1-i17-a7d365|30|R
AMB-707855|lt-c727361f-l50-12-a89b77|68|R
AMB-211134|lt-c727361f-l20-0-450e9c|44|R
AMB-292220|lt-c727361f-l20-11-667c42|47|R
