AMB-259210|lt-15a25b67-w11-i176-ffdea3
AMB-976851|lt-d0e73326-w36-i48-39a5ef
AMB-006270|lt-d0e73326-w20-i18-eb6295
AMB-069599|lt-f12749a3-w1-i170-7c2196
AMB-266368|lt-1b25ed33-w7-i45-2011d7
AMB-576590|lt-d0e73326-w10-i77-3f7eca
AMB-192933|lt-d0e73326-w28-i54-62c9ad
AMB-191280|lt-d0e73326-w7-i24-069a6b
AMB-429018|lt-1b25ed33-w30-i159-7fa8e5
AMB-295341|lt-d0e73326-w34-i78-9d8cd7
AMB-574237|lt-e7b31634-w29-i232-ff3948
AMB-913964|lt-b9dddcc4-w10-i66-cd5eff
AMB-768767|lt-b40a045e-w4-i127-a53b35
AMB-153995|lt-776fc897-w17-i41-c6787e
AMB-248351|lt-b9dddcc4-w27-i142-e67514
AMB-895598|lt-1b25ed33-w12-i121-7fc746
AMB-860903|lt-15a25b67-w20-i37-4b0240
AMB-833196|lt-d0e73326-w9-i2-bd40f2
AMB-661068|lt-1b25ed33-w20-i50-7a8253
AMB-509965|lt-b9dddcc4-w25-i229-b39f9c
AMB-785185|lt-e7b31634-w32-i151-c0c0fb
AMB-863680|lt-1b25ed33-w5-i3-2fd208
AMB-753308|lt-e7b31634-w32-i120-4851dd
AMB-806169|lt-15a25b67-w10-i140-bd0cd4
AMB-305361|lt-776fc897-w19-i203-b724e8
AMB-283181|lt-1b25ed33-w36-i84-908693
AMB-670716|lt-d0e73326-w4-i14-e340b2
AMB-400882|lt-e7b31634-w6-i174-89c85e
AMB-755656|lt-1b25ed33-w6-i87-2a0c4f
AMB-843635|lt-d0e73326-w26-i94-1ad3b4
AMB-058358|lt-e7b31634-w30-i156-3e1f58
AMB-588722|lt-776fc897-w27-i113-9367e6
AMB-820039|lt-e7b31634-w38-i197-92de58
AMB-369201|lt-d0e73326-w26-i227-b52960
AMB-377986|lt-b9dddcc4-w28-i190-28ac79
AMB-645095|lt-e7b31634-w26-i23-d814f5
AMB-523046|lt-1b25ed33-w2-i87-155b02
AMB-599358|lt-1b25ed33-w28-i142-7f81cb
AMB-033129|lt-d0e73326-w24-i23-ab56d4
AMB-875379|lt-15a25b67-w5-i28-05d856
AMB-562279|lt-e7b31634-w12-i21-771283
AMB-757812|lt-d0e73326-w33-i78-acaa5f
AMB-323608|lt-d0e73326-w13-i57-4b96cc
AMB-455851|lt-d0e73326-w2-i69-3fc117
AMB-842862|lt-e7b31634-w25-i135-3e5c94
AMB-259822|lt-776fc897-w15-i199-082b6f
AMB-093086|lt-b9dddcc4-w23-i69-0392dc
AMB-675421|lt-b9dddcc4-w12-i63-ed5e10
AMB-930559|lt-776fc897-w7-i74-456a46
AMB-306080|lt-e7b31634-w34-i103-0f38a5
AMB-891551|lt-d0e73326-w7-i56-bd7b49
AMB-840239|lt-b9dddcc4-w5-i6-e63647
AMB-059560|lt-1b25ed33-w8-i93-fa77b0
AMB-087656|lt-1b25ed33-w13-i76-e2df33
AMB-391107|lt-e7b31634-w36-i193-0eeac1
AMB-403243|lt-e7b31634-w33-i69-e84dc9
AMB-949479|lt-e7b31634-w40-i71-d692a7
AMB-637160|lt-776fc897-w20-i127-e4beb8
AMB-685281|lt-e7b31634-w26-i185-19a5d6
AMB-031512|lt-d0e73326-w35-i88-a422d4
