# sponsors-cascade-sapphire-20260523-220242  â€” 70 sponsors selected for cascade promotions during Sapphire wave
# Format: MemberId|Slug|Bucket|EP|ETS|DTL|DTR|CurRank|ExpectedTarget
# Note: rig takes col[1]=Slug; the rest is documentation for cross-check post-wave.
AMB-550531|g-7717c939-up1|TitaniumPlus|EP=756|ETS=125|DTL=3252|DTR=3120|CurRank=0|Target=Titanium+
AMB-452026|g-7717c939-up7|TitaniumPlus|EP=654|ETS=108|DTL=522|DTR=402|CurRank=0|Target=Titanium+
AMB-565792|g-7717c939-up8|TitaniumPlus|EP=516|ETS=85|DTL=252|DTR=2862|CurRank=0|Target=Titanium+
AMB-107495|p-33f6d261-up4|TitaniumPlus|EP=462|ETS=76|DTL=210|DTR=2172|CurRank=0|Target=Titanium+
AMB-199916|g-7717c939-up10|TitaniumPlus|EP=414|ETS=68|DTL=228|DTR=2628|CurRank=0|Target=Titanium+
AMB-679522|g-7717c939-up3|TitaniumPlus|EP=378|ETS=62|DTL=1686|DTR=1560|CurRank=0|Target=Titanium+
AMB-151521|p-33f6d261-up2|TitaniumPlus|EP=372|ETS=61|DTL=234|DTR=2388|CurRank=0|Target=Titanium+
AMB-052251|g-7717c939-up5|TitaniumPlus|EP=348|ETS=57|DTL=930|DTR=750|CurRank=0|Target=Titanium+
AMB-369634|g-7717c939-up9|TitaniumPlus|EP=324|ETS=53|DTL=318|DTR=198|CurRank=0|Target=Titanium+
AMB-175623|g-7717c939-up4|TitaniumPlus|EP=300|ETS=49|DTL=288|DTR=3414|CurRank=0|Target=Titanium+
AMB-140171|lt-c727361f-l50-23-28c12f|TitaniumPlus|EP=222|ETS=36|DTL=810|DTR=786|CurRank=0|Target=Titanium+
AMB-637178|g-7717c939-up6|TitaniumPlus|EP=198|ETS=32|DTL=288|DTR=3120|CurRank=0|Target=Titanium+
AMB-873986|p-33f6d261-up16|PlatinumPush|EP=168|ETS=27|DTL=126|DTR=1578|CurRank=0|Target=Platinum(or Titanium)
AMB-710416|lt-c727361f-l20-16-e78ceb|PlatinumPush|EP=168|ETS=27|DTL=18|DTR=606|CurRank=0|Target=Platinum(or Titanium)
AMB-052156|lt-c727361f-l20-1-52747e|PlatinumPush|EP=156|ETS=25|DTL=6|DTR=390|CurRank=0|Target=Platinum(or Titanium)
AMB-944930|lt-a222f227-w3-i6-abd4a8|PlatinumPush|EP=150|ETS=24|DTL=42|DTR=30|CurRank=0|Target=Platinum(or Titanium)
AMB-095648|probe-f315ad|PlatinumPush|EP=150|ETS=24|DTL=102|DTR=0|CurRank=0|Target=Platinum(or Titanium)
AMB-450721|lt-c4b8202b-w1-i45-e1b982|GoldPush|EP=66|ETS=10|DTL=0|DTR=0|CurRank=0|Target=Gold
AMB-745095|lt-a222f227-w5-i87-443918|GoldPush|EP=66|ETS=10|DTL=6|DTR=6|CurRank=0|Target=Gold
AMB-857647|lt-c727361f-l50-13-d847ec|GoldPush|EP=66|ETS=10|DTL=138|DTR=174|CurRank=0|Target=Gold
AMB-651107|lt-c727361f-l50-27-232d28|GoldPush|EP=60|ETS=9|DTL=0|DTR=0|CurRank=0|Target=Gold
AMB-632691|lt-c4b8202b-w1-i168-b1194c|GoldPush|EP=60|ETS=9|DTL=6|DTR=6|CurRank=0|Target=Gold
AMB-960705|lt-ecd8fb8e-w1-i82-c54fd5|GoldPush|EP=60|ETS=9|DTL=36|DTR=0|CurRank=0|Target=Gold
AMB-418748|lt-a222f227-w5-i68-ecf49e|GoldPush|EP=60|ETS=9|DTL=6|DTR=6|CurRank=0|Target=Gold
