# Fill pool 20260524-171709 - 500 random sponsors
# bucket|slug|EP|ETSize|DTL|DTR|DirectSponsored|MemberId|CurRankName
Fill|lt-9d788e06-w1-i163-98257d|6|0|6.0000|6.0000|0|AMB-756427|Lifestyle
Fill|lt-ecd8fb8e-w1-i212-c89103|6|0|.0000|.0000|0|AMB-638717|Lifestyle
Fill|lt-ecd8fb8e-w1-i114-a926c6|6|0|.0000|.0000|0|AMB-932718|Lifestyle
Fill|lt-b036a425-w1-i280-17a73a|6|0|.0000|.0000|0|AMB-959630|Lifestyle
Fill|lt-8ff5dfd4-w1-i67-45792b|6|0|42.0000|18.0000|0|AMB-048415|Lifestyle
Fill|lt-a222f227-w5-i22-2c0303|6|0|18.0000|6.0000|0|AMB-565810|Lifestyle
Fill|lt-a53be366-w1-i100-cd38b8|6|0|.0000|.0000|0|AMB-901889|Lifestyle
Fill|lt-b036a425-w1-i264-b22f5e|6|0|6.0000|6.0000|0|AMB-840359|Lifestyle
Fill|lt-ecd8fb8e-w1-i133-d547b3|6|0|.0000|.0000|0|AMB-710174|Lifestyle
Fill|lt-a53be366-w1-i171-d28531|6|0|.0000|.0000|0|AMB-226451|Lifestyle
Fill|lt-c8241e81-w1-i210-6b0393|6|0|.0000|.0000|0|AMB-842929|Lifestyle
Fill|lt-a53be366-w1-i286-d4dc07|6|0|.0000|.0000|0|AMB-209628|Lifestyle
Fill|lt-a222f227-w5-i77-d4810e|12|1|18.0000|18.0000|0|AMB-624261|Lifestyle
Fill|lt-c4b8202b-w1-i76-a34cf4|6|0|6.0000|6.0000|0|AMB-235968|Lifestyle
Fill|lt-ecd8fb8e-w1-i267-4ec575|6|0|.0000|.0000|0|AMB-221952|Lifestyle
Fill|lt-ecd8fb8e-w1-i120-604587|126|20|.0000|.0000|0|AMB-851934|2
Fill|lt-ecd8fb8e-w1-i70-7f2549|48|7|.0000|.0000|0|AMB-138649|1
Fill|p-33f6d261-up9|1008|167|132.0000|6.0000|0|AMB-970121|2
Fill|lt-c4b8202b-w1-i84-32aeae|6|0|6.0000|6.0000|0|AMB-776750|Lifestyle
Fill|lt-b036a425-w1-i50-b036e1|6|0|6.0000|6.0000|0|AMB-217629|Lifestyle
Fill|lt-9d788e06-w1-i360-17becf|6|0|18.0000|18.0000|0|AMB-828862|Lifestyle
Fill|lt-a222f227-w4-i66-57f127|18|2|30.0000|18.0000|0|AMB-027468|Lifestyle
Fill|lt-a53be366-w1-i310-2739ba|6|0|.0000|.0000|0|AMB-339186|Lifestyle
Fill|lt-ecd8fb8e-w1-i295-955464|6|0|6.0000|6.0000|0|AMB-400250|Lifestyle
Fill|lt-57ae4616-w1-i13-da8e18|6|0|6.0000|6.0000|0|AMB-782341|Lifestyle
Fill|lt-a53be366-w1-i72-8b1d6a|6|0|.0000|.0000|0|AMB-472677|Lifestyle
Fill|lt-a53be366-w1-i21-b4bbf3|6|0|.0000|.0000|0|AMB-770983|Lifestyle
Fill|lt-ecd8fb8e-w1-i147-16680b|6|0|.0000|.0000|0|AMB-289172|Lifestyle
Fill|lt-c4b8202b-w1-i214-190b90|6|0|6.0000|6.0000|0|AMB-478309|Lifestyle
Fill|lt-ecd8fb8e-w1-i9-b71860|6|0|6.0000|6.0000|0|AMB-467453|Lifestyle
Fill|lt-c8241e81-w1-i187-229f65|6|0|.0000|.0000|0|AMB-409625|Lifestyle
Fill|lt-9d788e06-w1-i123-65f6ec|6|0|6.0000|6.0000|0|AMB-189733|Lifestyle
Fill|lt-8ff5dfd4-w1-i78-f9e788|6|0|270.0000|18.0000|0|AMB-889706|Lifestyle
Fill|lt-b036a425-w1-i288-3e3faa|6|0|.0000|.0000|0|AMB-982935|Lifestyle
Fill|lt-9d788e06-w1-i283-24339a|6|0|6.0000|6.0000|0|AMB-054267|Lifestyle
Fill|lt-9d788e06-w1-i164-efa27a|6|0|6.0000|6.0000|0|AMB-175892|Lifestyle
Fill|lt-9d788e06-w1-i184-6dbcfa|6|0|6.0000|6.0000|0|AMB-165333|Lifestyle
Fill|lt-c4b8202b-w1-i231-720225|6|0|.0000|.0000|0|AMB-565955|Lifestyle
Fill|lt-8ff5dfd4-w1-i153-98e4e9|6|0|42.0000|18.0000|0|AMB-343379|Lifestyle
Fill|lt-9d788e06-w1-i340-dc4b39|6|0|6.0000|6.0000|0|AMB-527985|Lifestyle
Fill|lt-a53be366-w1-i138-88fc7f|6|0|.0000|.0000|0|AMB-026375|Lifestyle
Fill|lt-b036a425-w1-i91-2d5938|6|0|.0000|.0000|0|AMB-107924|Lifestyle
Fill|lt-ecd8fb8e-w1-i231-f67535|6|0|.0000|.0000|0|AMB-929617|Lifestyle
Fill|lt-9d788e06-w1-i83-adb857|6|0|6.0000|6.0000|0|AMB-607528|Lifestyle
Fill|lt-9d788e06-w1-i357-b00503|6|0|54.0000|66.0000|0|AMB-092348|Lifestyle
Fill|lt-a53be366-w1-i320-f8fbbd|6|0|.0000|.0000|0|AMB-943369|Lifestyle
Fill|lt-9d788e06-w1-i261-7439bc|6|0|6.0000|6.0000|0|AMB-184764|Lifestyle
Fill|lt-57ae4616-w1-i26-77a3e6|12|1|6.0000|6.0000|0|AMB-991594|Lifestyle
Fill|lt-ecd8fb8e-w1-i10-c9e1e6|6|0|6.0000|6.0000|0|AMB-521264|Lifestyle
Fill|lt-b036a425-w1-i257-bcf0e9|6|0|.0000|.0000|0|AMB-703000|Lifestyle
Fill|lt-a222f227-w4-i61-2db8ae|12|1|30.0000|42.0000|0|AMB-379231|Lifestyle
Fill|lt-b036a425-w1-i26-5eaad1|6|0|.0000|.0000|0|AMB-969856|Lifestyle
Fill|lt-a53be366-w1-i114-5318d9|6|0|.0000|.0000|0|AMB-201304|Lifestyle
Fill|lt-a222f227-w4-i80-9b3434|12|1|18.0000|30.0000|0|AMB-167357|Lifestyle
Fill|lt-c727361f-l50-11-64494b|6|0|270.0000|234.0000|0|AMB-401696|Lifestyle
Fill|lt-c8241e81-w1-i240-9810d3|6|0|.0000|.0000|0|AMB-575430|Lifestyle
Fill|lt-c727361f-l20-15-e73f6c|462|76|6.0000|366.0000|0|AMB-376439|3
Fill|lt-a222f227-w3-i44-8e6814|6|0|36.0000|54.0000|0|AMB-215294|Lifestyle
Fill|lt-c8241e81-w1-i308-4b4c56|6|0|.0000|.0000|0|AMB-829140|Lifestyle
Fill|lt-8ff5dfd4-w1-i125-7ec324|42|6|6.0000|6.0000|0|AMB-409312|1
Fill|lt-c8241e81-w1-i154-31dbce|6|0|.0000|.0000|0|AMB-677472|Lifestyle
Fill|lt-a222f227-w5-i139-dfb8d3|6|0|6.0000|6.0000|0|AMB-058323|Lifestyle
Fill|lt-57ae4616-w1-i19-f2b027|6|0|6.0000|6.0000|0|AMB-203899|Lifestyle
Fill|lt-9d788e06-w1-i393-eef4db|6|0|.0000|.0000|0|AMB-344865|Lifestyle
Fill|lt-a53be366-w1-i343-d57aef|6|0|.0000|.0000|0|AMB-601825|Lifestyle
Fill|lt-c8241e81-w1-i30-c7ff4b|6|0|.0000|.0000|0|AMB-110689|Lifestyle
Fill|lt-a222f227-w5-i96-ee57e2|6|0|6.0000|6.0000|0|AMB-219998|Lifestyle
Fill|lt-b036a425-w1-i327-362cb2|6|0|.0000|.0000|0|AMB-797897|Lifestyle
Fill|lt-a53be366-w1-i204-9c0a79|6|0|.0000|.0000|0|AMB-910310|Lifestyle
Fill|lt-b036a425-w1-i249-354303|12|1|42.0000|18.0000|0|AMB-602502|Lifestyle
Fill|lt-b036a425-w1-i338-c69471|6|0|.0000|.0000|0|AMB-204403|Lifestyle
Fill|lt-9d788e06-w1-i203-a9cba8|6|0|18.0000|18.0000|0|AMB-722812|Lifestyle
