AMB-000179|lt-ecd8fb8e-w1-i53-bbbbb4
AMB-001886|lt-a53be366-w1-i70-6f87a0
AMB-002349|lt-a53be366-w1-i196-05decf
AMB-004470|lt-eeacd0d2-w1-i15-83ef92
AMB-005392|lt-a53be366-w1-i190-7f9cdf
AMB-006614|lt-ecd8fb8e-w1-i264-34377f
AMB-006655|lt-a222f227-w4-i53-7d32b4
AMB-007751|lt-c8241e81-w1-i113-40acf5
AMB-008293|lt-eeacd0d2-w1-i52-aa1af2
AMB-008364|lt-a222f227-w5-i1-cad324
AMB-008597|lt-c8241e81-w1-i115-e9498f
AMB-009056|lt-a222f227-w5-i165-78d313
AMB-009892|lt-ecd8fb8e-w1-i279-3675ab
AMB-010060|lt-a222f227-w5-i83-0cb8fe
AMB-010638|lt-c4b8202b-w1-i51-a4e7a6
AMB-010685|lt-ecd8fb8e-w1-i168-832e4e
AMB-011285|lt-db8d45a6-w1-i9-5d8eaf
AMB-011313|lt-db8d45a6-w1-i320-177ede
AMB-011671|lt-a222f227-w4-i71-f7e649
AMB-011846|lt-c727361f-l50-3-03e82e
AMB-012679|lt-a53be366-w1-i137-8d230c
AMB-012721|lt-a53be366-w1-i304-82bcc7
AMB-013406|lt-ecd8fb8e-w1-i66-de9064
AMB-015107|lt-eeacd0d2-w1-i24-4dd58f
AMB-015355|lt-a53be366-w1-i5-2d77a3
AMB-015505|lt-db8d45a6-w1-i260-acc0b8
AMB-015638|lt-a222f227-w4-i72-28b6d5
AMB-015991|lt-db8d45a6-w1-i245-044cca
AMB-016118|lt-a222f227-w4-i78-b2c347
AMB-017517|lt-c4b8202b-w1-i271-f7d427
AMB-018860|lt-db8d45a6-w1-i490-c4d5b0
AMB-019235|lt-ecd8fb8e-w1-i258-efd3a3
AMB-020355|lt-ecd8fb8e-w1-i196-1805e3
AMB-020588|lt-db8d45a6-w1-i414-0ac577
AMB-020852|lt-c8241e81-w1-i337-3ec30a
AMB-021254|lt-c4b8202b-w1-i189-601a70
AMB-021723|lt-9d788e06-w1-i259-9e73ae
AMB-021977|lt-a222f227-w3-i41-a43a89
AMB-022771|lt-c4b8202b-w1-i99-90da01
AMB-023040|lt-db8d45a6-w1-i219-1a3282
AMB-023092|lt-ecd8fb8e-w1-i294-774f4e
AMB-024151|lt-9d788e06-w1-i222-5db885
AMB-024674|lt-db8d45a6-w1-i282-c9ee89
AMB-025202|lt-ecd8fb8e-w1-i199-10aea2
AMB-025286|lt-a222f227-w4-i6-e0f5f7
AMB-025292|lt-c727361f-l50-8-480021
AMB-025547|lt-a222f227-w5-i88-8c3608
AMB-026299|lt-ecd8fb8e-w1-i246-b977ac
AMB-026375|lt-a53be366-w1-i138-88fc7f
AMB-026772|lt-c4b8202b-w1-i43-8884a0
AMB-027275|lt-a222f227-w2-i6-300cf9
AMB-027468|lt-a222f227-w4-i66-57f127
AMB-028295|lt-ecd8fb8e-w1-i26-cb37bd
AMB-028734|lt-c4b8202b-w1-i171-fea184
AMB-028928|lt-a53be366-w1-i61-6d84e1
AMB-029076|lt-c4b8202b-w1-i131-6d8eae
AMB-029714|lt-c4b8202b-w1-i93-9544fa
AMB-031083|lt-ecd8fb8e-w1-i137-e317c6
