# Upline check
# b|s|EP|ETS|DTL|DTR|DS|MID|R
U||12|0|.0000|.0000|0|AMB-000179|0
U||60|0|792.0000|414.0000|0|AMB-001860|1
U||12|0|.0000|.0000|0|AMB-001886|0
U||12|0|.0000|.0000|0|AMB-002349|0
U||12|0|558.0000|228.0000|0|AMB-002601|0
U||18|0|30.0000|30.0000|0|AMB-006655|0
U||12|0|18.0000|18.0000|0|AMB-009056|0
U||18|0|42.0000|42.0000|0|AMB-011671|0
U||12|0|1206.0000|1212.0000|0|AMB-011846|0
U||18|0|.0000|.0000|0|AMB-012679|0
U||12|0|6.0000|138.0000|0|AMB-014394|0
U||12|0|.0000|.0000|0|AMB-015355|0
U||18|0|.0000|.0000|0|AMB-015637|0
U||18|0|78.0000|42.0000|0|AMB-015638|0
U||12|0|30.0000|30.0000|0|AMB-016118|0
U||12|0|6.0000|6.0000|0|AMB-016876|0
U||12|0|.0000|.0000|0|AMB-016906|0
U||12|0|6.0000|6.0000|0|AMB-017517|0
U||12|0|6.0000|6.0000|0|AMB-018266|0
U||930|0|240.0000|2850.0000|0|AMB-018872|4
U||12|0|.0000|.0000|0|AMB-019235|0
U||12|0|6.0000|6.0000|0|AMB-020355|0
U||12|0|.0000|.0000|0|AMB-021254|0
U||12|0|6.0000|18.0000|0|AMB-021837|0
U||12|0|72.0000|78.0000|0|AMB-021977|0
U||12|0|.0000|12.0000|0|AMB-024151|0
U||12|0|6.0000|6.0000|0|AMB-025202|0
U||72|0|306.0000|294.0000|0|AMB-025292|1
U||12|0|.0000|.0000|0|AMB-026309|0
U||12|0|.0000|.0000|0|AMB-026375|0
U||204|0|150.0000|162.0000|0|AMB-027275|2
U||12|0|6.0000|6.0000|0|AMB-029714|0
U||18|0|.0000|.0000|0|AMB-030722|0
U||12|0|90.0000|90.0000|0|AMB-030964|0
U||12|0|30.0000|18.0000|0|AMB-031625|0
U||12|0|162.0000|18.0000|0|AMB-031812|0
U||12|0|.0000|6.0000|0|AMB-032776|0
U||12|0|126.0000|18.0000|0|AMB-034490|0
U||12|0|30.0000|6.0000|0|AMB-035633|0
U||12|0|.0000|.0000|0|AMB-036554|0
U||12|0|18.0000|6.0000|0|AMB-037683|0
U||12|0|42.0000|42.0000|0|AMB-039781|0
U||12|0|.0000|.0000|0|AMB-040686|0
U||12|0|42.0000|30.0000|0|AMB-042661|0
U||12|0|.0000|.0000|0|AMB-043363|0
U||12|0|6.0000|6.0000|0|AMB-043655|0
U||12|0|.0000|.0000|0|AMB-044948|0
U||18|0|42.0000|18.0000|0|AMB-048415|0
U||12|0|6.0000|6.0000|0|AMB-048471|0
U||12|0|18.0000|18.0000|0|AMB-050255|0
U||18|0|.0000|.0000|0|AMB-052044|0
U||348|0|6.0000|486.0000|0|AMB-052156|3
U||102|0|6.0000|18.0000|0|AMB-052176|1
U||222|0|6.0000|6.0000|0|AMB-052766|2
U||12|0|18.0000|6.0000|0|AMB-054267|0
U||12|0|222.0000|18.0000|0|AMB-055311|0
U||12|0|6.0000|6.0000|0|AMB-058323|0
U||12|0|6.0000|6.0000|0|AMB-059225|0
U||12|0|78.0000|54.0000|0|AMB-059417|0
U||12|0|.0000|.0000|0|AMB-061073|0
U||12|0|.0000|.0000|0|AMB-061404|0
U||12|0|6.0000|6.0000|0|AMB-061703|0
U||12|0|.0000|.0000|0|AMB-062499|0
U||72|0|.0000|.0000|0|AMB-063656|1
U||12|0|6.0000|6.0000|0|AMB-063669|0
U||12|0|42.0000|42.0000|0|AMB-064406|0
U||24|0|.0000|.0000|0|AMB-065751|0
U||12|0|6.0000|6.0000|0|AMB-065931|0
U||18|0|84.0000|66.0000|0|AMB-066263|0
U||18|0|.0000|.0000|0|AMB-066990|0
U||12|0|.0000|.0000|0|AMB-070843|0
U||12|0|.0000|.0000|0|AMB-076208|0
U||18|0|30.0000|18.0000|0|AMB-076912|0
U||12|0|18.0000|6.0000|0|AMB-077738|0
U||12|0|6.0000|6.0000|0|AMB-078695|0
U||12|0|18.0000|6.0000|0|AMB-078797|0
U||18|0|6.0000|6.0000|0|AMB-080565|0
U||66|0|612.0000|588.0000|0|AMB-080633|1
U||18|0|.0000|.0000|0|AMB-081792|0
U||18|0|30.0000|42.0000|0|AMB-081843|0
U||12|0|6.0000|18.0000|0|AMB-082268|0
U||12|0|.0000|.0000|0|AMB-083043|0
U||12|0|.0000|.0000|0|AMB-083539|0
U||12|0|18.0000|12.0000|0|AMB-084056|0
U||12|0|18.0000|18.0000|0|AMB-084963|0
U||18|0|66.0000|30.0000|0|AMB-087934|0
U||12|0|6.0000|6.0000|0|AMB-089188|0
U||12|0|42.0000|30.0000|0|AMB-089471|0
U||18|0|90.0000|90.0000|0|AMB-092348|0
U||12|0|.0000|.0000|0|AMB-093601|0
U||12|0|6.0000|18.0000|0|AMB-097166|0
U||12|0|66.0000|84.0000|0|AMB-099028|0
U||156|0|42.0000|726.0000|0|AMB-099711|2
U||12|0|.0000|.0000|0|AMB-100229|0
U||12|0|6.0000|6.0000|0|AMB-102014|0
U||12|0|156.0000|150.0000|0|AMB-104527|0
U||12|0|.0000|.0000|0|AMB-104851|0
U||12|0|66.0000|90.0000|0|AMB-104870|0
U||942|0|426.0000|3354.0000|0|AMB-107495|5
U||12|0|.0000|.0000|0|AMB-107924|0
U||12|0|.0000|.0000|0|AMB-108442|0
U||12|0|.0000|.0000|0|AMB-110689|0
U||12|0|78.0000|78.0000|0|AMB-112195|0
U||18|0|30.0000|30.0000|0|AMB-114942|0
U||72|0|.0000|.0000|0|AMB-115382|1
U||12|0|18.0000|18.0000|0|AMB-117073|0
U||12|0|60.0000|.0000|0|AMB-117743|0
U||12|0|36.0000|42.0000|0|AMB-117825|0
U||12|0|18.0000|6.0000|0|AMB-118055|0
U||12|0|30.0000|30.0000|0|AMB-118344|0
U||18|0|30.0000|18.0000|0|AMB-119524|0
U||12|0|.0000|.0000|0|AMB-119973|0
U||168|0|18.0000|18.0000|0|AMB-120036|2
U||72|0|450.0000|102.0000|0|AMB-121432|1
U||12|0|.0000|.0000|0|AMB-121944|0
U||12|0|6.0000|6.0000|0|AMB-122576|0
U||24|0|.0000|.0000|0|AMB-122782|0
U||12|0|.0000|.0000|0|AMB-124853|0
U||18|0|18.0000|6.0000|0|AMB-127045|0
U||186|0|6.0000|402.0000|0|AMB-128599|2
U||18|0|.0000|.0000|0|AMB-131213|0
U||18|0|6.0000|6.0000|0|AMB-131374|0
U||18|0|186.0000|144.0000|0|AMB-131381|0
U||12|0|.0000|.0000|0|AMB-132793|0
U||18|0|6.0000|6.0000|0|AMB-132977|0
U||12|0|.0000|.0000|0|AMB-133278|0
U||12|0|.0000|.0000|0|AMB-134072|0
U||60|0|18.0000|18.0000|0|AMB-138649|1
U||12|0|.0000|.0000|0|AMB-139861|0
U||72|0|18.0000|642.0000|0|AMB-142210|1
U||12|0|6.0000|6.0000|0|AMB-143403|0
U||18|0|18.0000|6.0000|0|AMB-143747|0
U||12|0|.0000|12.0000|0|AMB-144019|0
U||12|0|30.0000|18.0000|0|AMB-145421|0
U||12|0|90.0000|18.0000|0|AMB-146405|0
U||12|0|.0000|.0000|0|AMB-151190|0
U||636|0|474.0000|3786.0000|0|AMB-151521|4
U||12|0|.0000|.0000|0|AMB-152549|0
U||66|0|6.0000|114.0000|0|AMB-153272|1
U||12|0|.0000|.0000|0|AMB-154222|0
U||60|0|18.0000|18.0000|0|AMB-155646|1
U||12|0|6.0000|6.0000|0|AMB-155863|0
U||12|0|174.0000|18.0000|0|AMB-156119|0
U||18|0|18.0000|18.0000|0|AMB-157402|0
U||18|0|6.0000|6.0000|0|AMB-158199|0
U||12|0|6.0000|6.0000|0|AMB-158767|0
U||294|0|78.0000|1608.0000|0|AMB-164273|3
U||72|0|90.0000|.0000|0|AMB-165091|1
U||12|0|6.0000|6.0000|0|AMB-165333|0
U||18|0|30.0000|42.0000|0|AMB-167357|0
U||12|0|.0000|.0000|0|AMB-167463|0
U||12|0|.0000|.0000|0|AMB-167517|0
U||60|0|6.0000|6.0000|0|AMB-168977|1
U||18|0|54.0000|66.0000|0|AMB-170577|0
U||12|0|.0000|.0000|0|AMB-171337|0
U||258|0|6.0000|1464.0000|0|AMB-171970|2
U||12|0|.0000|.0000|0|AMB-172095|0
U||60|0|6.0000|.0000|0|AMB-173563|1
U||12|0|6.0000|6.0000|0|AMB-173715|0
U||18|0|42.0000|18.0000|0|AMB-174636|0
U||12|0|6.0000|6.0000|0|AMB-175892|0
U||12|0|6.0000|18.0000|0|AMB-177998|0
